id	page_id	batch_id	ocr_text_path	ocr_xml_path	ocr_completed	juxta_change_index	alt_change_index	noisiness_idx
2272805	2325201	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/128.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/128.xml	2014-12-14 14:18:06	0.831	0.737	NULL
2272806	2345484	1034	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/8.txt	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/8.xml	2014-12-14 14:18:07	0.797	0.626	NULL
2272807	2325107	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/34.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/34.xml	2014-12-14 14:18:08	0.792	0.635	NULL
2272809	2325163	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/90.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/90.xml	2014-12-14 14:18:09	0.571	0.345	NULL
2272815	2350152	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/38.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/38.xml	2014-12-14 14:18:14	0.774	0.661	NULL
2272818	2350133	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/19.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/19.xml	2014-12-14 14:18:16	0.825	0.688	NULL
2272823	2325180	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/107.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/107.xml	2014-12-14 14:18:20	0.789	0.661	NULL
2272825	2325125	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/52.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/52.xml	2014-12-14 14:18:22	0.760	0.603	NULL
2272828	2345502	1034	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/26.txt	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/26.xml	2014-12-14 14:18:23	0.630	0.530	NULL
2272832	2325143	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/70.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/70.xml	2014-12-14 14:18:27	0.847	0.633	NULL
2272837	2345483	1034	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/7.txt	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/7.xml	2014-12-14 14:18:30	0.734	0.602	NULL
